0,517168,0,"Deputy Director, Pre-Development Planning",80000,90000
1,501645,1,Senior Stationary Engineer,563.52,563.52
2,520016,2,Disability Case Management Supervisor,54100,62215
3,515139,3,Chief Dispatcher,88608,88608
4,497303,4,Recreation Supervisor,28.2091,28.2091
5,497303,4,Recreation Supervisor,28.2091,28.2091
6,460742,5,Environmental Compliance Analyst,57078,85646
7,465916,6,Environmental Health Scientist,75504,86830
8,462614,7,Agency Attorney,71423,91563
9,496445,5,AGENCY ATTORNEY INTERNE,62397,75760
10,471080,3,Associate Inspector (Electrical),61198,70378
11,478993,7,Chaplain (Catholic) (Part-Time),27.9267,32.1155
12,520154,8,Senior Investigative Auditor,70000,73140
13,515433,9,Police Administrative Aide,36390,55228
14,500743,10,ACCOUNTABLE MANAGER,90114,122168
15,475859,7,Power BI Administrator,75000,145000
16,505798,11,Analyst  Department of Social Services (DSS) / Human Resources Administration  (HRA),51550,65604
17,494629,10,Trout in the Classroom Program Coordinator,75504,86830
18,514115,7,"Assistant Commissioner, Correction Intelligence Bureau",130000,150000
19,499486,12,MAINFRAME SYSTEM PROGRAMMER,110000,120000
20,514210,11,Supervising Analyst  CDBG Program and Closeout,83399,83399
21,484514,10,ASSISTANT MECHANICAL ENGINEER,57078,85646
22,463885,13,Clinical Advisor,35580,47719
23,497251,5,SMOKE-FREE NYCHA LIAISON,38333,63794
24,287169,9,"Director, Central Records Division",67060,178873
25,484698,10,ASSISTANT PROJECT MANAGER,57078,85646
26,465824,10,Prevention Through Design Professional,53702,146121
27,465824,10,Prevention Through Design Professional,53702,146121
28,514237,11,Supervising Analyst  Stimulus Policy and Program,83399,83399
29,518461,11,Analyst: Contracting Officer  Contract Administration,65604,73806
30,464402,6,"Early Intervention Official Designee, Bureau of Early Intervention",52712,52712
31,440244,5,Senior Writer,79620,110000
32,463777,14,Nutrition Consultant,61990,71288
33,518751,15,"Assistant Corporation Counsel, Tort Division",73579,133040
34,520007,11,Summer Graduate Intern  Libraries and Culturals,18,18
35,519993,11,Summer Undergraduate Intern  Libraries and Culturals,15.75,15.75
36,501855,16,Outreach Specialist Associate (Internal/Office),15.45,17.65
37,439530,6,Public Health Inspector,45722,52580
38,518496,0,TIL Training Coordinator,74650,85847
39,504073,5,Agency Attorney Level III,91563,95000
40,475355,17,Capital Budget Analyst,56013,89610
41,513466,5,Assistant Resident Building,49666,76064
42,504324,18,Portfolio Specialist,90114,100000
43,478709,19,Supervising Investigator,84460,84460
44,503755,0,Senior .Net Programmer/Analyst,92194,106023
45,518757,0,Court Liaison,54100,62215
46,458082,6,City Custodial Assistant,32260,44677
47,478951,20,Supervising Attorney-Gender Based Harassment Unit,95000,95000
48,507676,6,"Medical Record Librarian, I",44449,44449
49,472080,6,"Laboratory Associate, Bureau of Public Health Clinics *",24.8741,28.3131
50,513628,21,Assistant District Attorney - Criminal Court,73500,75500
51,463777,14,Nutrition Consultant,61990,71288
52,508249,22,Customer Service Representative,36390,41848
53,490126,17,Analyst,58152,74479
54,479042,23,Assistant General Counsel,79620,117541
55,502097,24,DIRECTOR OF FINANCIAL MANAGEMENT,80931,115000
56,495425,10,Customer Service Supervisor,53057,77124
57,518450,11,Supervising Analysts  Grant Monitoring,73806,83399
58,474023,20,Agency Attorney 2,71423,82137
59,503626,12,MAINFRAME PROGRAMMER ANALYST/FMS,0,110000
60,504298,5,Agency Attorney 03,79620,95000
61,242604,9,Civilian Investigator,37492,59863
62,267594,15,F/T Computer Aide,38157,49394
63,221045,2,CERTIFIED IT ADMINISTRATOR (WAN),89383,134914
64,516710,5,Application Configuration and Development Manager,64922,173486
65,456837,25,Operations Analyst,58152,74479
66,517667,15,"Assistant Corporation Counsel, Tax and Bankruptcy Litigation",73579,133040
67,519891,11,Summer Undergraduate Intern  Budget Administration,15.75,15.75
68,518877,4,Capital Support Coordinator,54100,83981
69,510602,12,WEB APPLICATION DEVELOPER,110000,115000
70,502555,26,BUDGET MANAGER (AOTPS) CAPITAL,84451,92896
71,502555,26,BUDGET MANAGER (AOTPS) CAPITAL,84451,92896
72,483730,25,Data Scientist - Policy Analytics,75504,94761
73,471393,5,CONFIDENTIAL INVESTIGATOR,45113,54075
74,478981,7,CHAPLAIN (MUSLIM FAITH) (PART-TIME),27.9267,32.1155
75,382675,15,BUDGET ANALYST,80000,80000
76,501531,5,"ROSS ZONE COORDINATOR, EAST HARLEM",54100,83981
77,516843,11,"Analyst  DOITT, Finance, Law, Mayoralty & Elected Officials",51550,73806
78,515170,5,Performance Management Analyst,56013,84862
79,496400,20,SENIOR POLICY  COUNSEL,95000,95000
80,501507,16,Youth Count Coordinator,27.9579,35.7258
81,474899,5,CONFIDENTIAL INVESTIGATOR,45113,55000
82,499226,6,Criminalist (detailed to Assistant Director of Laboratory),98000,130000
83,516814,27,ASSOCIATE PROJECT MANAGER,65208,74000
84,499191,20,INTAKE COORDINATOR,54100,62215
85,467844,5,Special Assistant to the Chief Operating Officer,58700,161534
86,519993,11,Summer Undergraduate Intern  Libraries and Culturals,15.75,15.75
87,357845,6,"Supervising Public Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",78429,78429
88,504893,28,Web Developer,58700,120000
89,504265,29,MECHANICAL ENGINEER,90114,122168
90,458487,6,Child Care Inspection Supervisor,60437,75063
91,494975,4,Environmental Permits Specialist,64140,64140
92,494975,4,Environmental Permits Specialist,64140,64140
93,497074,15,Enforcement Research Associate,39057,44915
94,516157,30,Senior Investment Officer- Private Equity (2 positions),160000,175000
95,466877,5,Program Associate,54100,83981
96,474116,17,Capital Payments Auditor,56013,89610
97,511015,8,Investigative Auditor,50000,55000
98,496629,7,"Assistant Commissioner, Program Operations",130000,150000
99,475519,10,DESIGN LEAD,53702,146121
100,475621,4,Climber & Pruner,64177,64177
101,475621,4,Climber & Pruner,64177,64177
102,503412,16,Senior Systems Analyst,58700,100000
103,516832,11,Analyst  Citywide Savings,51550,73806
104,516839,0,Special Programs Director,90000,100000
105,518499,11,Analyst  Data and Analytics Management,65604,73806
106,520406,0,Coordinator for the Division of Tenant Resources,54100,62215
107,517750,25,Director of Press and Media Relations,70611,105138
108,462622,7,Agency Attorney,63228,72712
109,408148,15,Computer Aide Level 2,43111,63969
110,519534,15,Secretary to Division Chief - Information Technology Division,50000,50000
111,509625,16,Deputy Director of Payroll,84451,110000
112,495777,14,Provider Training & Capacity Building College Aide,16,16
113,518900,4,Senior Program Specialist,70000,80000
114,518900,4,Senior Program Specialist,70000,80000
115,507946,20,Assistant General Counsel,75000,95000
116,499467,4,Forester,59497,59497
117,499467,4,Forester,59497,59497
118,490839,25,TLC College Aide - Executive Office Finance & Admin,15.5,19.9
119,462179,10,Chief Inspector,78461,87548
120,358147,6,"Supervising Health Nurse, Bureau of School Health/SH Nursing Services & Prof Dev",73576,73576
121,352087,2,ASSOCIATE STAFF ANALYST,65731,80000
122,519947,23,Assistant Commissioner - Office of Special Events,80931,208826
123,486083,10,EEO Investigator Specialist,91563,99000
124,519934,11,Undergraduate Summer Intern  Intergovernmental Relations,15.75,15.75
125,501556,6,Medicolegal Investigator Supervisor,108636,120000
126,509606,10,Section Chief of Collections Planning & Analysis,64922,173486
127,466040,7,Project Manager,75504,86830
128,518454,25,Quality Assurance Manager,90000,110000
129,516444,31,Staff Counsel,71423,82137
130,504313,17,Deputy Director,53702,146121
131,484699,14,BCS Finance Liaison (Per-Diem),43.84,49.25
132,519114,17,Engineer-In-Charge,80557,111917
133,490660,10,Engineering Technician II,42114,59724
134,519637,32,ADMINISTRATIVE COORDINATOR,53956,65000
135,481885,21,Assistant District Attorney,85000,130000
136,518547,0,Chief of Staff,105000,115000
137,465898,7,Genetec System Administrator,75000,120000
138,482195,7,"Assistant Commissioner, Health Affairs",130000,150000
139,485677,12,APPLICATION SECURITY ADMINISTRATOR LEAD,100000,110000
140,467415,11,Supervising Analysts  Data & Systems,70291,79428
141,517029,10,Plumber,369.53,369.53
142,499218,7,Software Applications Specialist,75000,130000
143,475750,7,Technical Project Manager,100000,150000
144,513319,0,Associate General Counsel,127410,137410
145,518836,30,Facilities Operations Manager,80000,90000
146,490970,33,Fiduciary Accounting Analyst,58152,74479
147,489456,17,Senior Sustainability Coordinator,67757,98128
148,507776,30,Senior Staff Engineer- Civil/Mechanical,102000,116000
149,519441,0,.Net Programmer/Analyst,84244,94244
150,512910,0,Data Modeler,96023,106023
151,519082,7,"Deputy Director, Data",85000,100000
152,518413,15,Assistant Corporation Counsel - Appeals,73579,122643
153,512514,25,Prosecuting Attorney,62397,75760
154,503556,13,Agency Attorney,71423,107032
155,516147,4,Wetlands Stewardship Coordinator,54100,83981
156,516147,4,Wetlands Stewardship Coordinator,54100,83981
157,440625,6,"Public Health Inspector, Food Safety and Community Sanitation",45722,52580
158,511221,31,Revenue Analyst,36390,41848
159,396829,0,Deputy Director of Continued Occupancy,72476,83347
160,496383,10,Project Manager,49328,56727
161,513399,10,Engineering Technician II,42114,59724
162,495222,19,Chief Data Scientist â Racial Profiling and Biased Policing Investigations Unit,84468,104909
163,456254,25,DRC Program Manager,54100,83981
164,505317,17,Resident Engineer,57078,85646
165,465164,7,Legal Coordinator (Risk Management Accountability System),47418,54531
166,519080,23,Economic Data Scientist,75504,94761
167,497163,34,GEOGRAPHIC INFORMATION SYSTEMS (GIS) PROGRAM MANAGER,60000,76000
168,519449,23,Assistant Commissioner - Office of Special Events,80931,208826
169,495396,35,Data Analyst,59422,68335
170,505276,15,Report Writer,66597,76587
171,500127,10,Senior Landscape Architect,67757,98128
172,471742,33,W-2 Accountant,50217,68234
173,497942,3,Assistant Electrical Engineer,57078,65640
174,518516,22,Deputy Director of Property Analytics,94283,108426
175,519141,30,Senior Investment Officer- Infrastructure,160000,175000
176,203387,6,"Public Health Advisor, Bureau of STD Prevention and Control",18.8112,24.2923
177,466961,33,W-2 Analyst,50078,68181
178,458227,10,Seasonal City Park Worker,16.6264,16.6264
179,507871,10,Community Associate,38333,63794
180,459756,36,IT Director,72038,192152
181,502085,37,"Software Engineer, Mayor's Office for Economic Opportunity",90000,140000
182,508868,25,Records Management Officer (RMO),53057,68000
183,497303,4,Recreation Supervisor,28.2091,28.2091
184,501507,16,Youth Count Coordinator,27.9579,35.7258
185,312210,2,COMPUTER SYSTEMS MANAGER,54643,150371
186,482478,25,Customer Information Representative- Counter Operations,37413,44380
187,513659,20,Supervising Attorney- SOI Unit,95000,95000
188,517843,5,Manager of Digital Inclusion,74650,109409
189,519544,26,TRAINING SPECIALIST,62470,66875
190,517568,15,"Assistant Corporation Counsel, Labor and Employment Law",73579,133040
191,490126,17,Analyst,58152,74479
192,455580,6,"Health Inspector, Bureau of Environmental Disease and Injury Prevention",45722,52580
193,427420,15,Facilities Building Custodian,35314,39905
194,469079,10,Computer Specialist (Software),85371,109990
195,515350,23,Senior Data Engineer,75000,180000
196,519718,23,Assistant Commissioner - Office of Special Events,80931,208826
197,517994,10,SCADA Development Section Chief,58700,161534
198,515317,5,"Associate Staff Analyst for LHD - Budget, Personnel, & Statistics",70611,105138
199,466040,7,Project Manager,75504,86830
200,510169,10,Supervisor Mechanics (Mech Equip),106891,117666
201,468271,25,TLC College Aide â Licensing & Standards,15.5,19.9
202,462638,25,Programs Intern,15.5,19.9
203,518950,5,Board Committee Meeting Coordinator,52501,71564
204,496081,10,Stormwater Resiliency,74650,109409
205,490231,20,Agency Attorney I,63228,72712
206,518169,22,Managing Administrative Law Judge,130564,130564
207,520116,10,Principal Senior,58477,67249
208,519108,7,"Deputy Commissioner, Classification & Population Management",180000,195000
209,515205,22,Taxpayer Advocate,170000,190000
210,487691,10,"Section Manager, Standards & Sustainability",64922,173486
211,519695,26,DIRECTOR FOR THE DIVISION OF LIENS AND RECOVERY (L&R),94715,94715
212,504141,29,Compost Partnership Administrator,84451,113550
213,473879,7,Personnel Supervisor,70000,75000
214,511861,31,Chief of Staff to the Commissioner,106729,170000
215,518820,22,Senior Human Resources Analyst,70611,81203
216,235793,15,Law Student,35213,40495
217,518491,10,Seasonal City Park Worker,16.6264,25.8257
